gga00511_Other_glycan_degradation;GBA2
gga00511_Other_glycan_degradation;NEU2
gga00511_Other_glycan_degradation;LOC107050229
gga00511_Other_glycan_degradation;MAN2C1
gga00511_Other_glycan_degradation;RP11-106M3.2
gga00511_Other_glycan_degradation;HEXDC
gga00511_Other_glycan_degradation;FUCA1
gga00511_Other_glycan_degradation;GLB1
gga00511_Other_glycan_degradation;FUCA2
gga00511_Other_glycan_degradation;AGA
gga00511_Other_glycan_degradation;MANBA
gga00511_Other_glycan_degradation;MAN2B2
gga00511_Other_glycan_degradation;HEXB
gga00511_Other_glycan_degradation;NEU4
gga00511_Other_glycan_degradation;ENGASE
gga00511_Other_glycan_degradation;NEU3
gga00511_Other_glycan_degradation;HEXDCL
gga03420_Nucleotide_excision_repair;GTF2H2
gga03420_Nucleotide_excision_repair;RAD23A
gga03420_Nucleotide_excision_repair;POLD2
gga03420_Nucleotide_excision_repair;RFC5
gga03420_Nucleotide_excision_repair;POLE4
gga03420_Nucleotide_excision_repair;LOC107057377
gga03420_Nucleotide_excision_repair;PCNA
gga03420_Nucleotide_excision_repair;DDB1
gga03420_Nucleotide_excision_repair;XPA
gga03420_Nucleotide_excision_repair;RFC2
gga03420_Nucleotide_excision_repair;XPC
gga03420_Nucleotide_excision_repair;ERCC4
gga03420_Nucleotide_excision_repair;POLE
gga03420_Nucleotide_excision_repair;POLE3
gga03420_Nucleotide_excision_repair;RPA1
gga03420_Nucleotide_excision_repair;RBX1
gga03420_Nucleotide_excision_repair;CUL4A
gga03420_Nucleotide_excision_repair;RFC3
gga03420_Nucleotide_excision_repair;POLD3
gga03420_Nucleotide_excision_repair;RPA2
gga03420_Nucleotide_excision_repair;RPA3
gga03420_Nucleotide_excision_repair;CETN2
gga03420_Nucleotide_excision_repair;CUL4B
gga03420_Nucleotide_excision_repair;RFC1
gga03420_Nucleotide_excision_repair;GTF2H1
gga03420_Nucleotide_excision_repair;DDB2
gga03420_Nucleotide_excision_repair;MNAT1
gga03420_Nucleotide_excision_repair;POLE2
gga03420_Nucleotide_excision_repair;ERCC6
gga03420_Nucleotide_excision_repair;ERCC3
gga03420_Nucleotide_excision_repair;RFC4
gga03420_Nucleotide_excision_repair;ERCC8
gga03420_Nucleotide_excision_repair;CCNH
gga03420_Nucleotide_excision_repair;ERCC5
gga03420_Nucleotide_excision_repair;LIG1
gga03420_Nucleotide_excision_repair;RAD23B
gga03420_Nucleotide_excision_repair;GTF2H5
gga03420_Nucleotide_excision_repair;CDK7
gga03420_Nucleotide_excision_repair;GTF2H3
gga02010_ABC_transporters;CFTR
gga02010_ABC_transporters;ABCB8
gga02010_ABC_transporters;ABCA1
gga02010_ABC_transporters;ABCC1
gga02010_ABC_transporters;ABCB1
gga02010_ABC_transporters;ABCA3
gga02010_ABC_transporters;ABCC6
gga02010_ABC_transporters;ABCB9
gga02010_ABC_transporters;ABCA8
gga02010_ABC_transporters;ABCA9
gga02010_ABC_transporters;ABCA5
gga02010_ABC_transporters;ABCD2
gga02010_ABC_transporters;ABCC9
gga02010_ABC_transporters;ABCC13
gga02010_ABC_transporters;ABCG1
gga02010_ABC_transporters;ABCC4
gga02010_ABC_transporters;ABCB1LA
gga02010_ABC_transporters;XXbac-BPG246D15.9
gga02010_ABC_transporters;ABCA13
gga02010_ABC_transporters;ABCG5
gga02010_ABC_transporters;ABCG8
gga02010_ABC_transporters;ABCC10
gga02010_ABC_transporters;ABCB10
gga02010_ABC_transporters;ABCC3
gga02010_ABC_transporters;ABCB7
gga02010_ABC_transporters;ABCC8
gga02010_ABC_transporters;ABCD4
gga02010_ABC_transporters;ABCG2
gga02010_ABC_transporters;ABCC2
gga02010_ABC_transporters;ABCA12
gga02010_ABC_transporters;ABCB11
gga02010_ABC_transporters;ABCD3
gga02010_ABC_transporters;ABCA4
gga02010_ABC_transporters;ABCC5
gga02010_ABC_transporters;ABCB6
gga02010_ABC_transporters;ABCA2
gga02010_ABC_transporters;TAP1
gga02010_ABC_transporters;TAP2
gga02010_ABC_transporters;ABCG4
gga03410_Base_excision_repair;APEX1
gga03410_Base_excision_repair;RP11-849H4.2
gga03410_Base_excision_repair;POLD2
gga03410_Base_excision_repair;POLE4
gga03410_Base_excision_repair;LOC107057057
gga03410_Base_excision_repair;LOC107057377
gga03410_Base_excision_repair;PCNA
gga03410_Base_excision_repair;UNG
gga03410_Base_excision_repair;MBD4
gga03410_Base_excision_repair;TDG
gga03410_Base_excision_repair;HMGB1
gga03410_Base_excision_repair;PARP1
gga03410_Base_excision_repair;NTHL1
gga03410_Base_excision_repair;MPG
gga03410_Base_excision_repair;POLE
gga03410_Base_excision_repair;POLE3
gga03410_Base_excision_repair;LIG3
gga03410_Base_excision_repair;PARP4
gga03410_Base_excision_repair;POLD3
gga03410_Base_excision_repair;NEIL2
gga03410_Base_excision_repair;POLE2
gga03410_Base_excision_repair;POLL
gga03410_Base_excision_repair;MUTYH
gga03410_Base_excision_repair;POLB
gga03410_Base_excision_repair;NEIL3
gga03410_Base_excision_repair;LIG1
gga03410_Base_excision_repair;SMUG1
gga03410_Base_excision_repair;FEN1
gga03410_Base_excision_repair;NEIL1
gga03410_Base_excision_repair;OGG1
gga03410_Base_excision_repair;PARP3
gga03022_Basal_transcription_factors;GTF2A1L
gga03022_Basal_transcription_factors;TAF6L
gga03022_Basal_transcription_factors;GTF2H2
gga03022_Basal_transcription_factors;TAF10
gga03022_Basal_transcription_factors;TBPL1
gga03022_Basal_transcription_factors;TBP
gga03022_Basal_transcription_factors;LOC415780
gga03022_Basal_transcription_factors;GTF2I
gga03022_Basal_transcription_factors;GTF2IRD1
gga03022_Basal_transcription_factors;TAF15
gga03022_Basal_transcription_factors;GTF2E1
gga03022_Basal_transcription_factors;TAF13
gga03022_Basal_transcription_factors;GTF2F2
gga03022_Basal_transcription_factors;TAF3
gga03022_Basal_transcription_factors;TAF4
gga03022_Basal_transcription_factors;TAF12
gga03022_Basal_transcription_factors;TAF11
gga03022_Basal_transcription_factors;TAF8
gga03022_Basal_transcription_factors;TAF4B
gga03022_Basal_transcription_factors;TAF5L
